gstID,startTime_GST,allKpIndex,link,linkedEvents,submissionTime,versionId,CME_ActivityID
2017-09-27T18:00:00-GST-001,2017-09-27 18:00:00+00:00,"[{'observedTime': '2017-09-27T21:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2017-09-28T00:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2017-09-28T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2017-09-28T06:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}, {'observedTime': '2017-09-28T09:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/13231/-1,[{'activityID': '2017-09-27T04:06:00-HSS-001'}],2017-09-27T21:32Z,1,2017-09-27T04:06:00-HSS-001
2017-10-13T12:00:00-GST-001,2017-10-13 12:00:00+00:00,"[{'observedTime': '2017-10-13T15:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2017-10-13T21:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/13291/-1,[{'activityID': '2017-10-11T18:00:00-HSS-001'}],2017-10-13T15:36Z,1,2017-10-11T18:00:00-HSS-001
2017-11-07T18:00:00-GST-001,2017-11-07 18:00:00+00:00,"[{'observedTime': '2017-11-07T21:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2017-11-08T00:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2017-11-08T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2017-11-08T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/13393/-1,[{'activityID': '2017-11-07T01:30:00-HSS-001'}],2017-11-07T21:42Z,1,2017-11-07T01:30:00-HSS-001
2018-03-18T21:00:00-GST-001,2018-03-18 21:00:00+00:00,"[{'observedTime': '2018-03-19T00:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/13750/-1,[{'activityID': '2018-03-14T12:00:00-HSS-001'}],2018-03-19T00:35Z,1,2018-03-14T12:00:00-HSS-001
2018-04-20T06:00:00-GST-001,2018-04-20 06:00:00+00:00,"[{'observedTime': '2018-04-20T09:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2018-04-20T12:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/13840/-1,[{'activityID': '2018-04-19T23:30:00-HSS-001'}],2018-04-20T09:25Z,1,2018-04-19T23:30:00-HSS-001
2018-05-06T00:00:00-GST-001,2018-05-06 00:00:00+00:00,"[{'observedTime': '2018-05-06T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/13879/-1,[{'activityID': '2018-05-05T09:27:00-HSS-001'}],2018-05-06T03:40Z,1,2018-05-05T09:27:00-HSS-001
2018-08-26T00:00:00-GST-001,2018-08-26 00:00:00+00:00,"[{'observedTime': '2018-08-26T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2018-08-26T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2018-08-26T06:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}, {'observedTime': '2018-08-26T06:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}, {'observedTime': '2018-08-26T09:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}, {'observedTime': '2018-08-26T09:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}, {'observedTime': '2018-08-26T18:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/14125/-1,"[{'activityID': '2018-08-20T21:24:00-CME-001'}, {'activityID': '2018-08-25T06:00:00-IPS-001'}]",2018-08-26T13:36Z,1,2018-08-20T21:24:00-CME-001
2018-08-27T15:00:00-GST-001,2018-08-27 15:00:00+00:00,"[{'observedTime': '2018-08-27T18:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2018-08-27T18:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/14133/-1,[{'activityID': '2018-08-26T07:00:00-HSS-001'}],2018-08-27T18:31Z,1,2018-08-26T07:00:00-HSS-001
2018-09-11T06:00:00-GST-001,2018-09-11 06:00:00+00:00,"[{'observedTime': '2018-09-11T09:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2018-09-11T12:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/14163/-1,[{'activityID': '2018-09-10T09:47:00-HSS-001'}],2018-09-11T09:32Z,1,2018-09-10T09:47:00-HSS-001
2018-11-05T03:00:00-GST-001,2018-11-05 03:00:00+00:00,"[{'observedTime': '2018-11-05T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/14276/-1,[{'activityID': '2018-11-04T14:30:00-HSS-001'}],2018-11-05T06:37Z,1,2018-11-04T14:30:00-HSS-001
