activityID,startTime,linkedEvents,GST_ActivityID
2022-08-19T00:24:00-CME-001,2022-08-19T00:24Z,"[{'activityID': '2022-08-18T21:44:00-FLR-001'}, {'activityID': '2022-08-18T22:28:00-FLR-001'}]",2022-08-18T21:44:00-FLR-001
2022-08-19T07:30:00-CME-001,2022-08-19T07:30Z,[{'activityID': '2022-08-19T04:14:00-FLR-001'}],2022-08-19T04:14:00-FLR-001
2022-08-19T11:38:00-CME-001,2022-08-19T11:38Z,[{'activityID': '2022-08-19T11:01:00-FLR-001'}],2022-08-19T11:01:00-FLR-001
2022-08-26T07:12:00-CME-001,2022-08-26T07:12Z,[{'activityID': '2022-08-26T06:07:00-FLR-001'}],2022-08-26T06:07:00-FLR-001
2022-08-26T13:48:00-CME-001,2022-08-26T13:48Z,[{'activityID': '2022-08-26T12:52:00-FLR-001'}],2022-08-26T12:52:00-FLR-001
2022-08-27T02:23:00-CME-001,2022-08-27T02:23Z,"[{'activityID': '2022-08-27T01:52:00-FLR-001'}, {'activityID': '2022-08-27T11:12:00-SEP-001'}, {'activityID': '2022-08-27T11:55:00-SEP-001'}, {'activityID': '2022-08-29T02:57:00-IPS-001'}]",2022-08-27T01:52:00-FLR-001
2022-08-28T10:48:00-CME-001,2022-08-28T10:48Z,[{'activityID': '2022-08-28T07:24:00-FLR-001'}],2022-08-28T07:24:00-FLR-001
2022-08-28T16:23:00-CME-001,2022-08-28T16:23Z,[{'activityID': '2022-08-28T15:48:00-FLR-001'}],2022-08-28T15:48:00-FLR-001
2022-08-29T17:12:00-CME-001,2022-08-29T17:12Z,[{'activityID': '2022-08-29T16:15:00-FLR-001'}],2022-08-29T16:15:00-FLR-001
2022-08-30T18:24:00-CME-001,2022-08-30T18:24Z,[{'activityID': '2022-08-30T18:05:00-FLR-001'}],2022-08-30T18:05:00-FLR-001
2022-09-02T19:32:00-CME-001,2022-09-02T19:32Z,[{'activityID': '2022-09-04T12:19:00-IPS-001'}],2022-09-04T12:19:00-IPS-001
2022-09-04T08:48:00-CME-001,2022-09-04T08:48Z,[{'activityID': '2022-09-04T07:35:00-FLR-001'}],2022-09-04T07:35:00-FLR-001
2022-09-09T07:24:00-CME-001,2022-09-09T07:24Z,[{'activityID': '2022-09-14T06:23:00-IPS-001'}],2022-09-14T06:23:00-IPS-001
2022-09-17T14:00:00-CME-001,2022-09-17T14:00Z,"[{'activityID': '2022-09-17T12:42:00-FLR-001'}, {'activityID': '2022-09-17T13:21:00-FLR-001'}]",2022-09-17T12:42:00-FLR-001
2022-09-19T01:36:00-CME-001,2022-09-19T01:36Z,[{'activityID': '2022-09-19T00:43:00-FLR-001'}],2022-09-19T00:43:00-FLR-001
2022-09-20T06:36:00-CME-001,2022-09-20T06:36Z,[{'activityID': '2022-09-20T05:35:00-FLR-001'}],2022-09-20T05:35:00-FLR-001
2022-09-23T18:23:00-CME-001,2022-09-23T18:23Z,[{'activityID': '2022-09-23T17:48:00-FLR-001'}],2022-09-23T17:48:00-FLR-001
2022-09-24T17:53:00-CME-001,2022-09-24T17:53Z,[{'activityID': '2022-09-24T16:59:00-FLR-001'}],2022-09-24T16:59:00-FLR-001
2022-09-28T04:48:00-CME-001,2022-09-28T04:48Z,[{'activityID': '2022-10-01T15:05:00-IPS-001'}],2022-10-01T15:05:00-IPS-001
2022-09-28T05:24:00-CME-001,2022-09-28T05:24Z,[{'activityID': '2022-10-01T15:05:00-IPS-001'}],2022-10-01T15:05:00-IPS-001
2022-10-01T13:09:00-CME-001,2022-10-01T13:09Z,[{'activityID': '2022-10-04T07:05:00-IPS-001'}],2022-10-04T07:05:00-IPS-001
2022-10-01T20:24:00-CME-001,2022-10-01T20:24Z,"[{'activityID': '2022-10-01T19:58:00-FLR-001'}, {'activityID': '2022-10-01T21:17:00-SEP-001'}, {'activityID': '2022-10-01T21:17:00-SEP-002'}, {'activityID': '2022-10-01T21:25:00-SEP-001'}, {'activityID': '2022-10-01T21:25:00-SEP-002'}]",2022-10-01T19:58:00-FLR-001
2022-10-02T02:36:00-CME-001,2022-10-02T02:36Z,"[{'activityID': '2022-10-02T02:08:00-FLR-001'}, {'activityID': '2022-10-02T03:39:00-SEP-001'}, {'activityID': '2022-10-02T03:39:00-SEP-002'}, {'activityID': '2022-10-02T03:43:00-SEP-001'}, {'activityID': '2022-10-02T03:43:00-SEP-002'}]",2022-10-02T02:08:00-FLR-001
2022-10-02T20:36:00-CME-001,2022-10-02T20:36Z,[{'activityID': '2022-10-02T19:53:00-FLR-001'}],2022-10-02T19:53:00-FLR-001
2022-10-03T00:36:00-CME-001,2022-10-03T00:36Z,[{'activityID': '2022-10-05T06:20:00-IPS-001'}],2022-10-05T06:20:00-IPS-001
2022-10-03T09:48:00-CME-001,2022-10-03T09:48Z,[{'activityID': '2022-10-03T09:38:00-FLR-001'}],2022-10-03T09:38:00-FLR-001
2022-10-03T20:36:00-CME-001,2022-10-03T20:36Z,[{'activityID': '2022-10-03T19:57:00-FLR-001'}],2022-10-03T19:57:00-FLR-001
2022-10-04T13:36:00-CME-001,2022-10-04T13:36Z,"[{'activityID': '2022-10-04T12:48:00-FLR-001'}, {'activityID': '2022-10-04T15:52:00-SEP-001'}, {'activityID': '2022-10-04T15:53:00-SEP-001'}]",2022-10-04T12:48:00-FLR-001
2022-10-09T23:48:00-CME-001,2022-10-09T23:48Z,"[{'activityID': '2022-10-13T06:00:00-IPS-001'}, {'activityID': '2022-10-14T08:12:00-IPS-001'}]",2022-10-13T06:00:00-IPS-001
2022-10-11T09:23:00-CME-001,2022-10-11T09:23Z,"[{'activityID': '2022-10-11T08:36:00-FLR-001'}, {'activityID': '2022-10-14T08:12:00-IPS-001'}]",2022-10-11T08:36:00-FLR-001
